polar bear gene ID	BK_SAMN01057691	BK_SRR7813602	BB_SRR7758718	BB_SAMN02256313	BB_SAMN02256315	BB_SAMN02256316	BB_SAMN02256317	BB_SAMN02256318	BB_SAMN02256319	BB_SAMN02256320	BB_SAMN02256321	BB_SAMN02256322	PB_SAMN02261811	PB_SAMN02261819	PB_SAMN02261821	PB_SAMN02261826	PB_SAMN02261840	PB_SAMN02261845	PB_SAMN02261851	PB_SAMN02261853	PB_SAMN02261854	PB_SAMN02261856	PB_SAMN02261858	PB_SAMN02261865	PB_SAMN02261868	PB_SAMN02261870	PB_SAMN02261871	PB_SAMN02261878	PB_SAMN02261880
Uma_R019372	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
Uma_R019373	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2
Uma_R019374	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2
Uma_R019375	0	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1
Uma_R019376	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2
Uma_R019377	1	2	2	1	2	1	1	1	2	2	2	1	1	1	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2
Uma_R019378	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	2
Uma_R019379	1	1	151	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	3	2	3	1	1	1	2	2	2
Uma_R019380	1	1	142	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2	1	3	1	2	1	1	1	2	2	2
Uma_R019381	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2
Uma_R019382	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2
Uma_R019383	1	1	13	1	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	2	2	2	2	1	1	1	2	2
Uma_R019385	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2
Uma_R019386	1	1	3	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	3	3	2	3	2	2	2	3	3
Uma_R019387	1	1	3	2	2	2	2	2	2	3	3	2	2	2	2	2	3	2	2	2	3	3	3	3	2	1	2	3	2
Uma_R019388	0	1	7	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019389	1	1	4	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2
Uma_R019390	0	1	90	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019391	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2
Uma_R019392	1	2	2	1	2	1	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2
Uma_R019393	1	2	2	1	2	2	2	1	2	2	2	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	2	2
Uma_R019394	6	3	1	2	3	2	3	2	2	2	3	2	1	2	2	3	2	2	2	2	3	3	3	3	2	2	2	3	3
Uma_R019395	1	1	3	2	5	1	1	1	1	2	2	1	1	2	1	3	2	2	2	2	3	2	3	2	2	2	2	3	3
Uma_R019396	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2
Uma_R019397	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1
Uma_R019398	1	2	2	1	2	2	2	1	2	2	2	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2
Uma_R019399	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019400	2	2	2	2	1	2	1	2	1	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	1	1	1	2
Uma_R019401	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019402	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2
Uma_R019403	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2
Uma_R019404	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
